sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905949		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	3.30E+11	10090	13_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.10E+11	10_13	Mouse_D	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905967		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	8.30E+12	10090	14_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	5.07E+12	10_14	Mouse_D	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905968		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.50E+12	10090	14_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	5.07E+12	10_14	Mouse_D	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905969		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.40E+12	10090	14_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	5.07E+12	10_14	Mouse_D	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905987		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.28E+11	10090	15_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	1.66E+12	10_15	Mouse_D	colonised	Mus musculus	high	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1905988		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	4.22E+12	10090	15_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	1.66E+12	10_15	Mouse_D	colonised	Mus musculus	high	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1905989		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.26E+11	10090	15_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	1.66E+12	10_15	Mouse_D	colonised	Mus musculus	high	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1906113		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	3.65E+11	10090	21_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	21_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p13	UBERON:feces	UBERON:feces	1.93E+12	10_21	Mouse_D	colonised	Mus musculus	high	SC	20	MDUPHL_DAMG	20	high	FALSE	13132
13132.DMG1906114		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.14E+11	10090	21_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	21_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p13	UBERON:feces	UBERON:feces	1.93E+12	10_21	Mouse_D	colonised	Mus musculus	high	SC	20	MDUPHL_DAMG	20	high	FALSE	13132
13132.DMG1906115		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.23E+12	10090	21_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	21_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p13	UBERON:feces	UBERON:feces	1.93E+12	10_21	Mouse_D	colonised	Mus musculus	high	SC	20	MDUPHL_DAMG	20	high	FALSE	13132
13132.DMG1905950		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	1123333333	10090	13_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	5912777778	10_13	Mouse_E	colonised	Mus musculus	high	OG	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905951		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	16400000000	10090	13_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	5912777778	10_13	Mouse_E	colonised	Mus musculus	high	OG	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905952		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	215000000	10090	13_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	5912777778	10_13	Mouse_E	colonised	Mus musculus	intermediate	OG	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905953		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	13_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	0	10_13	Mouse_F	control	Mus musculus	none	Not applicable	12	MDUPHL_DAMG	12	none	FALSE	13132
13132.DMG1905954		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	13_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	0	10_13	Mouse_F	control	Mus musculus	none	Not applicable	12	MDUPHL_DAMG	12	none	FALSE	13132
13132.DMG1905955		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	13_10 F3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 F3	adult	Mouse_F3	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	0	10_13	Mouse_F	control	Mus musculus	none	Not applicable	12	MDUPHL_DAMG	12	none	FALSE	13132
13132.DMG1905956		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	2046666667	10090	14_10 A1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 A1	adult	Mouse_A1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	31004444444	10_14	Mouse_A	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905957		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	16566666667	10090	14_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	31004444444	10_14	Mouse_A	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905958		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	74400000000	10090	14_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	31004444444	10_14	Mouse_A	colonised	Mus musculus	high	SC	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905959		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	1840000	10090	14_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	4402500	10_14	Mouse_B	colonised	Mus musculus	intermediate	SC	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905960		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	14_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	4402500	10_14	Mouse_B	colonised	Mus musculus	0	SC	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905961		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	5100000	10090	14_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	4402500	10_14	Mouse_B	colonised	Mus musculus	intermediate	SC	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905962		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	2270000	10090	14_10 B4	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 B4	adult	Mouse_B4	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	4402500	10_14	Mouse_B	colonised	Mus musculus	intermediate	SC	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905963		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	8400000	10090	14_10 B5	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 B5	adult	Mouse_B5	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	4402500	10_14	Mouse_B	colonised	Mus musculus	intermediate	SC	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905964		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	26600	10090	14_10 C1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 C1	adult	Mouse_C1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	8866.666667	10_14	Mouse_C	carrier	Mus musculus	intermediate	OG	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905965		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	14_10 C2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 C2	adult	Mouse_C2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	8866.666667	10_14	Mouse_C	carrier	Mus musculus	undetectable	OG	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905966		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	14_10 C3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 C3	adult	Mouse_C3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	8866.666667	10_14	Mouse_C	carrier	Mus musculus	undetectable	OG	13	MDUPHL_DAMG	13	intermediate	FALSE	13132
13132.DMG1905970		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	1.27E+11	10090	14_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	71333333333	10_14	Mouse_E	colonised	Mus musculus	high	OG	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905971		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	74800000000	10090	14_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	71333333333	10_14	Mouse_E	colonised	Mus musculus	high	OG	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1905972		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	12400000000	10090	14_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	71333333333	10_14	Mouse_E	colonised	Mus musculus	high	OG	13	MDUPHL_DAMG	13	high	FALSE	13132
13132.DMG1906129		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	200	10090	22_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	22_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	p14	UBERON:feces	UBERON:feces	200	10_22	Mouse_B	carrier	Mus musculus	low	SC	21	MDUPHL_DAMG	21	low	FALSE	13132
13132.DMG1905973		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	14_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	0	10_14	Mouse_F	control	Mus musculus	none	Not applicable	13	MDUPHL_DAMG	13	none	FALSE	13132
13132.DMG1905974		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	14_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	0	10_14	Mouse_F	control	Mus musculus	none	Not applicable	13	MDUPHL_DAMG	13	none	FALSE	13132
13132.DMG1905975		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	14_10 F3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	14_10 F3	adult	Mouse_F3	mouse gut metagenome	mouse	p6	UBERON:feces	UBERON:feces	0	10_14	Mouse_F	control	Mus musculus	none	Not applicable	13	MDUPHL_DAMG	13	none	FALSE	13132
13132.DMG1905976		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	1850000000	10090	15_10 A1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 A1	adult	Mouse_A1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	16409777778	10_15	Mouse_A	colonised	Mus musculus	high	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1905977		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	255333333.3	10090	15_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	16409777778	10_15	Mouse_A	colonised	Mus musculus	intermediate	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1905978		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	47124000000	10090	15_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	16409777778	10_15	Mouse_A	colonised	Mus musculus	high	SC	14	MDUPHL_DAMG	14	high	FALSE	13132
13132.DMG1905979		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	7000	10090	15_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	20875	10_15	Mouse_B	colonised	Mus musculus	intermediate	SC	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905980		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	48500	10090	15_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	20875	10_15	Mouse_B	colonised	Mus musculus	intermediate	SC	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905981		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	14000	10090	15_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	20875	10_15	Mouse_B	colonised	Mus musculus	intermediate	SC	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905982		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	15_10 B4	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 B4	adult	Mouse_B4	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	20875	10_15	Mouse_B	colonised	Mus musculus	0	SC	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905983		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	14000	10090	15_10 B5	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 B5	adult	Mouse_B5	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	20875	10_15	Mouse_B	colonised	Mus musculus	intermediate	SC	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905984		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	15_10 C1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 C1	adult	Mouse_C1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_C	carrier	Mus musculus	undetectable	OG	14	MDUPHL_DAMG	14	undetectable	FALSE	13132
13132.DMG1905985		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	15_10 C2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 C2	adult	Mouse_C2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_C	carrier	Mus musculus	undetectable	OG	14	MDUPHL_DAMG	14	undetectable	FALSE	13132
