sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905986		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	15_10 C3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 C3	adult	Mouse_C3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_C	carrier	Mus musculus	undetectable	OG	14	MDUPHL_DAMG	14	undetectable	FALSE	13132
13132.DMG1905990		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	295000000	10090	15_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	489583333.3	10_15	Mouse_E	colonised	Mus musculus	intermediate	OG	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905991		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	743750000	10090	15_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	489583333.3	10_15	Mouse_E	colonised	Mus musculus	intermediate	OG	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905992		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	430000000	10090	15_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	489583333.3	10_15	Mouse_E	colonised	Mus musculus	intermediate	OG	14	MDUPHL_DAMG	14	intermediate	FALSE	13132
13132.DMG1905993		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	15_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_F	control	Mus musculus	none	Not applicable	14	MDUPHL_DAMG	14	none	FALSE	13132
13132.DMG1905994		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	15_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_F	control	Mus musculus	none	Not applicable	14	MDUPHL_DAMG	14	none	FALSE	13132
13132.DMG1906089		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.81E+11	10090	20_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	3.76E+11	10_20	Mouse_D	colonised	Mus musculus	high	SC	19	MDUPHL_DAMG	19	high	FALSE	13132
13132.DMG1906090		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	4.24E+11	10090	20_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	3.76E+11	10_20	Mouse_D	colonised	Mus musculus	high	SC	19	MDUPHL_DAMG	19	high	FALSE	13132
13132.DMG1906091		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	4.24E+11	10090	20_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	3.76E+11	10_20	Mouse_D	colonised	Mus musculus	high	SC	19	MDUPHL_DAMG	19	high	FALSE	13132
13132.DMG1906092		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	14600	10090	20_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	27440	10_20	Mouse_E	colonised	Mus musculus	intermediate	OG	19	MDUPHL_DAMG	19	intermediate	FALSE	13132
13132.DMG1906093		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	23000	10090	20_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	27440	10_20	Mouse_E	colonised	Mus musculus	intermediate	OG	19	MDUPHL_DAMG	19	intermediate	FALSE	13132
