"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10","10.5","11","11.5","12","12.5","13","13.5","14","14.5","15","15.5","16","16.5","17","17.5","18","18.5","19","19.5","20","20.5","21","21.5","22","22.5","23","23.5","24"
"OTU1",-1.30829419592352,-1.328729090028,-1.34916398413247,-1.36959887823694,-1.39003377234141,-1.41046866644589,-1.43090356055036,-1.45133845465483,-1.47177334875931,-1.49220824286378,-1.51264313696825,-1.53307803107272,-1.5535129251772,-1.57394781928167,-1.59438271338614,-1.61481760749061,-1.63525250159509,-1.65568739569956,-1.67612228980403,-1.69655718390851,-1.71699207801298,-1.73742697211745,-1.75786186622192,-1.7782967603264,-1.79873165443087,-1.81916654853534,-1.83960144263981,-1.86003633674429,-1.88047123084876,-1.90090612495323,-1.9213410190577,-1.94177591316218,-1.96221080726665,-1.98264570137112,-2.0030805954756,-2.02351548958007,-2.04395038368454,-2.06438527778901,-2.08482017189349,-2.10525506599796,-2.12568996010243,-2.1461248542069,-2.16655974831138,-2.18699464241585,-2.20742953652032,-2.2278644306248,-2.24829932472927
"OTU2",-0.129831164872313,-0.0996538651969892,-0.0694765655216653,-0.0392992658463414,-0.00912196617101746,0.0210553335043065,0.0512326331796304,0.0814099328549543,0.111587232530278,0.141764532205602,0.171941831880926,0.20211913155625,0.232296431231574,0.262473730906898,0.292651030582222,0.322828330257546,0.353005629932869,0.383182929608193,0.413360229283517,0.443537528958841,0.473714828634165,0.503892128309489,0.534069427984813,0.564246727660137,0.594424027335461,0.624601327010785,0.654778626686109,0.684955926361432,0.715133226036756,0.74531052571208,0.775487825387404,0.805665125062728,0.835842424738052,0.866019724413376,0.8961970240887,0.926374323764024,0.956551623439348,0.986728923114671,1.01690622279,1.04708352246532,1.07726082214064,1.10743812181597,1.13761542149129,1.16779272116662,1.19797002084194,1.22814732051726,1.25832462019259
"OTU3",1.56643743745198,1.83612229279329,2.10580714813459,2.3754920034759,2.6451768588172,2.91486171415851,3.18454656949981,3.32490310825011,3.4652596470004,3.55388485911429,3.64251007122817,3.73113528334206,3.81976049545595,3.81311659773373,3.8064727000115,3.6728033225078,3.5391339450041,3.4054645675004,3.2717951899967,3.14079422623164,3.00979326246658,2.89480278113338,2.77981229980018,2.66482181846698,2.54983133713379,2.43484085580059,2.31985037446739,2.36321472753119,2.40657908059499,2.47633590605829,2.54609273152159,2.61584955698489,2.68560638244818,2.8135903950812,2.94157440771421,3.1132288107245,3.2848832137348,3.45653761674509,3.62819201975539,3.73982240520094,3.85145279064649,3.81302313218018,3.77459347371387,3.73616381524757,3.69773415678126,3.65930449831496,3.62087483984865
"OTU4",-0.27111510489006,-0.268321189555617,-0.265527274221174,-0.262733358886731,-0.259939443552288,-0.257145528217845,-0.254351612883402,-0.251557697548959,-0.248763782214515,-0.245969866880072,-0.243175951545629,-0.240382036211186,-0.237588120876743,-0.2347942055423,-0.232000290207857,-0.229206374873414,-0.226412459538971,-0.223618544204528,-0.220824628870085,-0.218030713535642,-0.215236798201199,-0.212442882866756,-0.209648967532313,-0.20685505219787,-0.204061136863427,-0.201267221528984,-0.198473306194541,-0.195679390860098,-0.192885475525655,-0.190091560191212,-0.187297644856769,-0.184503729522326,-0.181709814187883,-0.17891589885344,-0.176121983518997,-0.173328068184554,-0.170534152850111,-0.167740237515668,-0.164946322181225,-0.162152406846782,-0.159358491512339,-0.156564576177896,-0.153770660843453,-0.15097674550901,-0.148182830174567,-0.145388914840124,-0.142594999505681
"OTU5",-1.03336210572561,-1.14723400800882,-1.26110591029203,-1.37497781257523,-1.48884971485844,-1.60272161714164,-1.71659351942485,-1.80997346981404,-1.90335342020324,-1.98853658983482,-2.07371975946641,-2.158902929098,-2.24408609872959,-2.31621357045995,-2.3883410421903,-2.44306091671903,-2.49778079124775,-2.55250066577647,-2.60722054030519,-2.65263868661475,-2.69805683292432,-2.68766460991891,-2.67727238691351,-2.66688016390811,-2.65648794090271,-2.64609571789731,-2.6357034948919,-2.54022787864129,-2.44475226239068,-2.33509608059919,-2.22543989880771,-2.11578371701623,-2.00612753522475,-1.90628231708044,-1.80643709893613,-1.71395010352719,-1.62146310811826,-1.52897611270932,-1.43648911730039,-1.39010505898423,-1.34372100066807,-1.41259428508385,-1.48146756949962,-1.5503408539154,-1.61921413833117,-1.68808742274695,-1.75696070716273
"OTU6",-1.63556383883487,-1.63303421637696,-1.63050459391906,-1.62797497146115,-1.62544534900324,-1.62291572654534,-1.62038610408743,-1.61785648162952,-1.61532685917161,-1.61279723671371,-1.6102676142558,-1.60773799179789,-1.60520836933999,-1.60267874688208,-1.60014912442417,-1.59761950196626,-1.59508987950836,-1.59256025705045,-1.59003063459254,-1.58750101213463,-1.58497138967673,-1.58244176721882,-1.57991214476091,-1.57738252230301,-1.5748528998451,-1.57232327738719,-1.56979365492928,-1.56726403247138,-1.56473441001347,-1.56220478755556,-1.55967516509766,-1.55714554263975,-1.55461592018184,-1.55208629772393,-1.54955667526603,-1.54702705280812,-1.54449743035021,-1.54196780789231,-1.5394381854344,-1.53690856297649,-1.53437894051858,-1.53184931806068,-1.52931969560277,-1.52679007314486,-1.52426045068695,-1.52173082822905,-1.51920120577114
"OTU7",4.18384686777213,4.19448559865911,4.2051243295461,4.21576306043308,4.22640179132007,4.23704052220705,4.24767925309404,4.25831798398103,4.26895671486801,4.279595445755,4.29023417664198,4.30087290752897,4.31151163841595,4.32215036930294,4.33278910018992,4.34342783107691,4.35406656196389,4.36470529285088,4.37534402373786,4.38598275462485,4.39662148551183,4.40726021639882,4.4178989472858,4.42853767817279,4.43917640905978,4.44981513994676,4.46045387083375,4.47109260172073,4.48173133260772,4.4923700634947,4.50300879438169,4.51364752526867,4.52428625615566,4.53492498704264,4.54556371792963,4.55620244881661,4.5668411797036,4.57747991059058,4.58811864147757,4.59875737236455,4.60939610325154,4.62003483413852,4.63067356502551,4.64131229591249,4.65195102679948,4.66258975768647,4.67322848857345
"OTU8",5.68544581524703,5.67332017888959,5.66119454253214,5.64906890617469,5.63694326981725,5.6248176334598,5.61269199710236,5.58066274837839,5.54863349965443,5.50864280598386,5.46865211231328,5.42866141864271,5.38867072497214,5.32904036050218,5.26940999603223,5.18359340382975,5.09777681162729,5.01196021942482,4.92614362722235,4.83903168318018,4.75191973913801,4.65703568405764,4.56215162897727,4.4672675738969,4.37238351881653,4.27749946373616,4.18261540865579,4.20917394146875,4.2357324742817,4.28253143841021,4.32933040253872,4.37612936666723,4.42292833079575,4.46694523707214,4.51096214334853,4.55289250623583,4.59482286912313,4.63675323201043,4.67868359489773,4.69270398119389,4.70672436749005,4.65096981230838,4.59521525712671,4.53946070194504,4.48370614676336,4.42795159158169,4.37219703640002
"OTU9",4.98024456185933,5.02690645020083,5.07356833854232,5.12023022688382,5.16689211522531,5.21355400356681,5.26021589190831,5.24486095843713,5.22950602496595,5.1893443627697,5.14918270057346,5.10902103837721,5.06885937618096,5.01478805542478,4.96071673466859,4.88809920249916,4.81548167032973,4.74286413816029,4.67024660599086,4.58697594443474,4.50370528287863,4.35651584500243,4.20932640712623,4.06213696925003,3.91494753137383,3.76775809349763,3.62056865562143,3.70903420049438,3.79749974536734,3.92524112069849,4.05298249602964,4.18072387136079,4.30846524669194,4.43474228644855,4.56101932620516,4.68619811428086,4.81137690235656,4.93655569043226,5.06173447850796,5.113942145427,5.16614981234604,5.03592967637342,4.90570954040079,4.77548940442817,4.64526926845555,4.51504913248293,4.3848289965103
"OTU10",4.49404064676422,4.55563971563796,4.61723878451171,4.67883785338545,4.74043692225919,4.80203599113294,4.86363506000668,4.86563225582633,4.86762945164598,4.845785898244,4.82394234484201,4.80209879144003,4.78025523803804,4.74052601893637,4.70079679983469,4.63722002646676,4.57364325309882,4.51006647973089,4.44648970636296,4.36779888231592,4.28910805826889,4.11973293014726,3.95035780202562,3.78098267390399,3.61160754578236,3.44223241766073,3.27285728953909,3.34477457781302,3.41669186608695,3.52882455709347,3.64095724809999,3.75308993910652,3.86522263011304,3.95688264816552,4.048542666218,4.12484817955495,4.2011536928919,4.27745920622885,4.3537647195658,4.38240462090674,4.41104452224769,4.32052039359861,4.22999626494954,4.13947213630047,4.0489480076514,3.95842387900232,3.86789975035325
"OTU11",6.36494912170891,6.38560880189951,6.40626848209012,6.42692816228072,6.44758784247133,6.46824752266193,6.48890720285254,6.47004082372272,6.45117444459291,6.41649764173492,6.38182083887694,6.34714403601895,6.31246723316097,6.24491444655119,6.1773616599414,6.06597422832922,5.95458679671703,5.84319936510485,5.73181193349266,5.61032945234193,5.4888469711912,5.30679419280918,5.12474141442716,4.94268863604515,4.76063585766313,4.57858307928111,4.39653030089909,4.52899858164665,4.6614668623942,4.84635531966335,5.03124377693251,5.21613223420166,5.4010206914708,5.56054646114901,5.72007223082721,5.8605759848122,6.00107973879719,6.14158349278218,6.28208724676717,6.35258434479105,6.42308144281493,6.31856190093604,6.21404235905715,6.10952281717825,6.00500327529936,5.90048373342047,5.79596419154157
"OTU12",6.9555726958457,6.9166313106836,6.87768992552151,6.83874854035941,6.79980715519731,6.76086577003522,6.72192438487312,6.68298299971102,6.64404161454893,6.60510022938683,6.56615884422473,6.52721745906263,6.48827607390054,6.44933468873844,6.41039330357634,6.37145191841425,6.33251053325215,6.29356914809005,6.25462776292795,6.21568637776586,6.17674499260376,6.13780360744166,6.09886222227957,6.05992083711747,6.02097945195537,5.98203806679327,5.94309668163118,5.90415529646908,5.86521391130698,5.82627252614489,5.78733114098279,5.74838975582069,5.70944837065859,5.6705069854965,5.6315656003344,5.5926242151723,5.55368283001021,5.51474144484811,5.47580005968601,5.43685867452391,5.39791728936182,5.35897590419972,5.32003451903762,5.28109313387553,5.24215174871343,5.20321036355133,5.16426897838923
"OTU13",3.90403732047769,3.9047986902529,3.9055600600281,3.90632142980331,3.90708279957851,3.90784416935372,3.90860553912892,3.90936690890413,3.91012827867933,3.91088964845454,3.91165101822974,3.91241238800495,3.91317375778015,3.91393512755536,3.91469649733056,3.91545786710577,3.91621923688097,3.91698060665618,3.91774197643138,3.91850334620659,3.91926471598179,3.920026085757,3.9207874555322,3.92154882530741,3.92231019508261,3.92307156485782,3.92383293463303,3.92459430440823,3.92535567418344,3.92611704395864,3.92687841373385,3.92763978350905,3.92840115328426,3.92916252305946,3.92992389283467,3.93068526260987,3.93144663238508,3.93220800216028,3.93296937193549,3.93373074171069,3.9344921114859,3.9352534812611,3.93601485103631,3.93677622081151,3.93753759058672,3.93829896036192,3.93906033013713
"OTU14",3.21650618983194,3.18399573846546,3.15148528709898,3.1189748357325,3.08646438436601,3.05395393299953,3.02144348163305,2.98007220594925,2.93870093026546,2.89378532485473,2.84886971944401,2.80395411403328,2.75903850862256,2.69798351063712,2.63692851265168,2.55435432456661,2.47178013648155,2.38920594839649,2.30663176031143,2.22435358484698,2.14207540938253,2.06157330964176,1.98107120990098,1.90056911016021,1.82006701041944,1.73956491067866,1.65906281093789,1.67640857960689,1.69375434827589,1.72740809501319,1.76106184175048,1.79471558848778,1.82836933522507,1.85616426392694,1.88395919262882,1.90736000780412,1.93076082297943,1.95416163815474,1.97756245333004,1.98614725783058,1.99473206233112,1.96627684014473,1.93782161795834,1.90936639577195,1.88091117358556,1.85245595139917,1.82400072921278
"OTU15",2.15839560079134,2.18161476071718,2.20483392064301,2.22805308056885,2.25127224049469,2.27449140042052,2.29771056034636,2.32092972027219,2.34414888019803,2.36736804012386,2.3905872000497,2.41380635997554,2.43702551990137,2.46024467982721,2.48346383975304,2.50668299967888,2.52990215960471,2.55312131953055,2.57634047945638,2.59955963938222,2.62277879930806,2.64599795923389,2.66921711915973,2.69243627908556,2.7156554390114,2.73887459893723,2.76209375886307,2.78531291878891,2.80853207871474,2.83175123864058,2.85497039856641,2.87818955849225,2.90140871841809,2.92462787834392,2.94784703826976,2.97106619819559,2.99428535812143,3.01750451804726,3.0407236779731,3.06394283789894,3.08716199782477,3.11038115775061,3.13360031767644,3.15681947760228,3.18003863752811,3.20325779745395,3.22647695737979
"OTU16",-1.607095132552,-1.62420812823699,-1.64132112392198,-1.65843411960698,-1.67554711529197,-1.69266011097696,-1.70977310666196,-1.72688610234695,-1.74399909803194,-1.76111209371694,-1.77822508940193,-1.79533808508693,-1.81245108077192,-1.82956407645691,-1.84667707214191,-1.8637900678269,-1.88090306351189,-1.89801605919689,-1.91512905488188,-1.93224205056687,-1.94935504625187,-1.96646804193686,-1.98358103762185,-2.00069403330685,-2.01780702899184,-2.03492002467683,-2.05203302036183,-2.06914601604682,-2.08625901173181,-2.10337200741681,-2.1204850031018,-2.1375979987868,-2.15471099447179,-2.17182399015678,-2.18893698584178,-2.20604998152677,-2.22316297721176,-2.24027597289676,-2.25738896858175,-2.27450196426674,-2.29161495995174,-2.30872795563673,-2.32584095132172,-2.34295394700672,-2.36006694269171,-2.3771799383767,-2.3942929340617
